Title,Artist Display Name,Period,Object Date,Classification,Link Resource
,Jin Zunnian,Qing dynasty (1644–1911),dated 1732,Paintings,http://www.metmuseum.org/art/collection/search/35969
明   丁雲鵬   潯陽送客圖   軸|Song of the Lute,Ding Yunpeng,late Ming dynasty (1368–1644),1585,Paintings,http://www.metmuseum.org/art/collection/search/35970
清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng,Wang Hui|Unidentified artist,Qing dynasty (1644–1911),"18th century or later, spurious date of 1680",Paintings,http://www.metmuseum.org/art/collection/search/35971
清   佚名   倣王翬   倣仇實父採菱圖   扇|Gathering Water Chestnuts,Wang Hui|Unidentified artist,Qing dynasty (1644–1911),"18th century or later, spurious date of 1706",Paintings,http://www.metmuseum.org/art/collection/search/35972
清   佚名   倣王鑑   倣惠崇山水圖   扇|Landscape in the Style of Huichong,Wang Jian|Unidentified artist,Qing dynasty (1644–1911),"18th century or later, spurious date of 1676",Paintings,http://www.metmuseum.org/art/collection/search/35973
清   倣王時敏  山水  扇面|Landscape,Wang Shimin|Unidentified artist,Qing dynasty (1644–1911),"18th century or later, spurious date of 1648",Paintings,http://www.metmuseum.org/art/collection/search/35974
清   佚名   倣王翬   臨燕文貴勘書圖   扇|Landscape in the Style of Yan Wengui,Wang Hui|Unidentified artist,Qing dynasty (1644–1911),"18th century or later, spurious date of 1707",Paintings,http://www.metmuseum.org/art/collection/search/35975
明（？）　陸克正　倣北苑山水　扇|Landscape in the manner of Dong Yuan,Dong Yuan|Lu Kezheng,Ming (1368–1644) or Qing (1644–1911) dynasty,1591/1651,Paintings,http://www.metmuseum.org/art/collection/search/35977
明/清　佚名　倣文徴明　山水　扇|Landscape,Wen Zhengming|Unidentified artist,Ming dynasty (1368–1644) or later,,Paintings,http://www.metmuseum.org/art/collection/search/35979
明/清   沈顥   漁父圖   扇|Qu Yuan and the Fisherman,Shen Hao,Ming (1368–1644) or Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/35981
明   宋懋晉   樓居圖   扇|Dwelling in Landscape,Song Maojin|Unidentified artist,Ming dynasty (1368–1644),17th century,Paintings,http://www.metmuseum.org/art/collection/search/35984
明    程嘉燧   園鷄圖   扇|Landscape with Chicken,Cheng Jiasui,Ming (1368–1644)–Qing (1644–1911) dynasty,,Paintings,http://www.metmuseum.org/art/collection/search/35986
明　李流芳　疏林小景　扇|Figure standing in a grove of trees,Li Liufang,Ming dynasty (1368–1644),1613,Paintings,http://www.metmuseum.org/art/collection/search/35988
明   陳季淳   山水人物圖  扇頁|Landscape with figure,Chen Jichun,Ming dynasty (1368–1644),1635,Paintings,http://www.metmuseum.org/art/collection/search/35989
明　吳彬　翠壁丹楓　扇|Azure Cliff with Red Maples,Wu Bin,Ming dynasty (1368–1644),1603,Paintings,http://www.metmuseum.org/art/collection/search/35990
明/清   潘雲馭   秋江落照   扇|Setting Sun on the Autumn River,Pan Yunyu,Ming dynasty (1368–1644),1604 or 1664,Paintings,http://www.metmuseum.org/art/collection/search/35992
明/清   祁豸佳   山水 圖|Landscape with fisherman,Qi Zhijia,Ming dynasty (1368–1644),1643,Paintings,http://www.metmuseum.org/art/collection/search/35994
明   張翀   花鳥圖   扇面|Bird on a flowering branch,Zhang Chong,Ming dynasty (1368–1644),late 16th or early 17th century,Paintings,http://www.metmuseum.org/art/collection/search/35996
明   佚名   倣邵彌   倣文徵明山水  扇頁|Landscape After Wen Zhengming,Shao Mi,Ming dynasty (1368–1644),dated 1640,Paintings,http://www.metmuseum.org/art/collection/search/35998
明/清   莊冏生   山水   扇面|River Landscape,Zhuang Jiongsheng,Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/36000
明/清   文止   疏影橫斜   扇|Plum Blossoms,Wen Zhi,Qing dynasty (1644–1911),dated 1670,Paintings,http://www.metmuseum.org/art/collection/search/36001
清　吳山濤　山水圖　扇|Riverscape with moored boats,Wu Shantao,Qing dynasty (1644–1911),late 17th or early 18th century,Paintings,http://www.metmuseum.org/art/collection/search/36002
元末明初 佚名牧羊圖團扇頁 絹本設色|Sheep and herd boy,Unidentified artist,late Yuan (1271–1368)–early Ming (1368–1644) dynasty,14th century,Paintings,http://www.metmuseum.org/art/collection/search/36004
"南宋  夏珪  山市晴嵐圖  冊頁|Mountain Market, Clearing Mist",Xia Gui,Southern Song dynasty (1127–1279),early 13th century,Paintings,http://www.metmuseum.org/art/collection/search/36005
,,Southern Song dynasty (1127–1279),13th century,Paintings,http://www.metmuseum.org/art/collection/search/36006
南宋  佚名  雪景待渡圖  團扇|Waiting for the Ferry,Unidentified artist,Song dynasty (960–1279),early 13th century,Paintings,http://www.metmuseum.org/art/collection/search/36007
